Date,Time,Total_trips_from_LGA,Total_trips_to_LGA,5min_saved_time_pickup,5min_saved_rides_pickup,5min_saved_time_dropoff,5min_saved_rides_dropoff,5min_av_per_saved_time_pickup,5min_av_per_saved_rides_pickup,5min_av_per_saved_time_dropoff,5min_av_per_saved_rides_dropoff,5min_av_computation_time_pickup,5min_av_computation_time_dropoff,10min_saved_time_pickup,10min_saved_rides_pickup,10min_saved_time_dropoff,10min_saved_rides_dropoff,10min_av_per_saved_time_pickup,10min_av_per_saved_rides_pickup,10min_av_per_saved_time_dropoff,10min_av_per_saved_rides_dropoff,10min_av_computation_time_pickup,10min_av_computation_time_dropoff
2015-07-01,00:00:00,7798,5408,23199.0000,2309,18048.0000,1728,0.2648,0.2961,0.3010,0.3195,0.0173,0.0095,27909.0000,2756,21112.0000,2020,0.3186,0.3534,0.3521,0.3735,0.0286,0.0184
2015-07-02,00:00:00,8058,5986,23798.0000,2385,20026.0000,1895,0.2628,0.2960,0.2996,0.3166,0.0136,0.0108,28679.0000,2848,23497.0000,2225,0.3167,0.3534,0.3515,0.3717,0.0304,0.0201
2015-07-03,00:00:00,5111,3610,12848.0000,1300,9725.0000,952,0.2256,0.2544,0.2445,0.2637,0.0099,0.0074,15991.0000,1610,12051.0000,1172,0.2808,0.3150,0.3030,0.3247,0.0176,0.0120
2015-07-04,00:00:00,3435,1726,6517.0000,682,3294.0000,325,0.1697,0.1985,0.1767,0.1883,0.0080,0.0054,8445.0000,874,4410.0000,439,0.2199,0.2544,0.2366,0.2543,0.0133,0.0069
2015-07-05,00:00:00,10525,4254,33167.0000,3341,12582.0000,1227,0.2802,0.3174,0.2711,0.2884,0.0179,0.0078,39056.0000,3910,15243.0000,1482,0.3300,0.3715,0.3284,0.3484,0.0521,0.0130
2015-07-06,00:00:00,12072,4049,39831.0000,3914,11617.0000,1136,0.2902,0.3242,0.2637,0.2806,0.0198,0.0075,46361.0000,4528,14294.0000,1391,0.3378,0.3751,0.3245,0.3435,0.0566,0.0124
2015-07-07,00:00:00,9813,3847,31303.0000,3100,10919.0000,1069,0.2827,0.3159,0.2601,0.2779,0.0159,0.0073,36641.0000,3600,13522.0000,1320,0.3309,0.3669,0.3221,0.3431,0.0401,0.0119
2015-07-08,00:00:00,8866,4021,27881.0000,2749,11877.0000,1131,0.2781,0.3101,0.2656,0.2813,0.0146,0.0075,32827.0000,3214,14422.0000,1367,0.3275,0.3625,0.3225,0.3400,0.0335,0.0124
2015-07-09,00:00:00,8568,5098,26873.0000,2672,16499.0000,1565,0.2813,0.3119,0.2929,0.3070,0.0139,0.0087,31575.0000,3110,19671.0000,1853,0.3305,0.3630,0.3493,0.3635,0.0321,0.0166
2015-07-10,00:00:00,9350,5335,28189.0000,2858,17566.0000,1681,0.2699,0.3057,0.2987,0.3151,0.0155,0.0090,33353.0000,3344,20558.0000,1962,0.3193,0.3576,0.3496,0.3678,0.0360,0.0170
2015-07-11,00:00:00,4740,2612,11280.0000,1155,6298.0000,621,0.2128,0.2437,0.2211,0.2377,0.0089,0.0062,14043.0000,1429,8043.0000,790,0.2649,0.3015,0.2823,0.3025,0.0157,0.0090
2015-07-12,00:00:00,9738,4729,30525.0000,3016,14700.0000,1426,0.2778,0.3097,0.2846,0.3015,0.0197,0.0094,36146.0000,3548,17685.0000,1714,0.3290,0.3643,0.3423,0.3624,0.0456,0.0148
