Date,Time,Total_trips_from_LGA,Total_trips_to_LGA,5min_saved_time_pickup,5min_saved_rides_pickup,5min_saved_time_dropoff,5min_saved_rides_dropoff,5min_av_per_saved_time_pickup,5min_av_per_saved_rides_pickup,5min_av_per_saved_time_dropoff,5min_av_per_saved_rides_dropoff,5min_av_computation_time_pickup,5min_av_computation_time_dropoff,10min_saved_time_pickup,10min_saved_rides_pickup,10min_saved_time_dropoff,10min_saved_rides_dropoff,10min_av_per_saved_time_pickup,10min_av_per_saved_rides_pickup,10min_av_per_saved_time_dropoff,10min_av_per_saved_rides_dropoff,10min_av_computation_time_pickup,10min_av_computation_time_dropoff
2016-05-01,00:00:00,153,8,332.0000,46,0.0000,0,0.1961,0.3007,0.0000,0.0000,0.0097,0.0073,449.0000,57,0.0000,0,0.2652,0.3725,0.0000,0.0000,0.0140,0.0053
2016-05-01,01:00:00,11,5,0.0000,0,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0062,0.0051,1.0000,1,0.0000,0,0.0122,0.0909,0.0000,0.0000,0.0066,0.0049
2016-05-01,02:00:00,3,8,0.0000,0,9.0000,1,0.0000,0.0000,0.1268,0.1250,0.0056,0.0043,0.0000,0,14.0000,2,0.0000,0.0000,0.1972,0.2500,0.0053,0.0043
2016-05-01,03:00:00,1,42,0.0000,0,103.0000,11,0.0000,0.0000,0.2168,0.2619,0.0050,0.0046,0.0000,0,148.0000,16,0.0000,0.0000,0.3116,0.3810,0.0063,0.0058
2016-05-01,04:00:00,8,106,0.0000,0,345.0000,38,0.0000,0.0000,0.2969,0.3585,0.0054,0.0060,0.0000,0,378.0000,42,0.0000,0.0000,0.3253,0.3962,0.0072,0.0089
2016-05-01,05:00:00,11,131,8.0000,2,529.0000,54,0.0580,0.1818,0.3442,0.4122,0.0056,0.0065,9.0000,2,576.0000,58,0.0652,0.1818,0.3748,0.4427,0.0085,0.0116
2016-05-01,06:00:00,8,233,0.0000,0,971.0000,98,0.0000,0.0000,0.3557,0.4206,0.0052,0.0093,0.0000,0,1041.0000,106,0.0000,0.0000,0.3813,0.4549,0.0061,0.0184
2016-05-01,07:00:00,25,291,11.0000,1,1210.0000,125,0.0378,0.0400,0.3581,0.4296,0.0057,0.0110,22.0000,3,1273.0000,131,0.0756,0.1200,0.3767,0.4502,0.0073,0.0292
2016-05-01,08:00:00,169,339,361.0000,45,1421.0000,148,0.1847,0.2663,0.3660,0.4366,0.0083,0.0143,482.0000,58,1499.0000,156,0.2467,0.3432,0.3861,0.4602,0.0175,0.0349
2016-05-01,09:00:00,297,327,956.0000,107,1409.0000,149,0.2743,0.3603,0.3740,0.4557,0.0130,0.0118,1023.0000,121,1428.0000,151,0.2935,0.4074,0.3791,0.4618,0.0241,0.0319
2016-05-01,10:00:00,512,344,1755.0000,207,1444.0000,150,0.2959,0.4043,0.3650,0.4360,0.0193,0.0128,1872.0000,222,1507.0000,156,0.3156,0.4336,0.3809,0.4535,0.0623,0.0362
2016-05-01,11:00:00,540,355,1894.0000,222,1551.0000,159,0.3041,0.4111,0.3843,0.4479,0.0211,0.0130,2018.0000,237,1597.0000,164,0.3240,0.4389,0.3957,0.4620,0.0782,0.0357
2016-05-01,12:00:00,634,415,2242.0000,258,1763.0000,180,0.3082,0.4069,0.3723,0.4337,0.0274,0.0152,2443.0000,280,1831.0000,186,0.3358,0.4416,0.3866,0.4482,0.1103,0.0478
2016-05-01,13:00:00,491,401,1637.0000,187,1763.0000,180,0.2926,0.3809,0.3795,0.4489,0.0186,0.0158,1816.0000,208,1821.0000,184,0.3246,0.4236,0.3920,0.4589,0.0550,0.0501
2016-05-01,14:00:00,619,370,2284.0000,260,1582.0000,161,0.3211,0.4200,0.3705,0.4351,0.0246,0.0135,2440.0000,277,1650.0000,168,0.3431,0.4475,0.3864,0.4541,0.0974,0.0380
2016-05-01,15:00:00,638,302,2441.0000,266,1294.0000,133,0.3273,0.4169,0.3708,0.4404,0.0268,0.0109,2617.0000,286,1378.0000,142,0.3509,0.4483,0.3948,0.4702,0.1133,0.0294
2016-05-01,16:00:00,523,341,1972.0000,219,1446.0000,148,0.3281,0.4187,0.3693,0.4340,0.0210,0.0123,2077.0000,233,1569.0000,159,0.3455,0.4455,0.4008,0.4663,0.0750,0.0333
2016-05-01,17:00:00,645,253,2440.0000,265,1058.0000,107,0.3207,0.4109,0.3596,0.4229,0.0271,0.0093,2639.0000,287,1088.0000,110,0.3468,0.4450,0.3698,0.4348,0.1042,0.0192
2016-05-01,18:00:00,730,208,2871.0000,312,865.0000,87,0.3358,0.4274,0.3619,0.4183,0.0327,0.0081,3002.0000,329,897.0000,90,0.3511,0.4507,0.3753,0.4327,0.1507,0.0160
2016-05-01,19:00:00,708,94,2588.0000,301,262.0000,29,0.3200,0.4251,0.2665,0.3085,0.0311,0.0055,2734.0000,321,325.0000,37,0.3381,0.4534,0.3306,0.3936,0.1402,0.0079
2016-05-01,20:00:00,662,41,2594.0000,282,90.0000,10,0.3329,0.4260,0.2174,0.2439,0.0287,0.0046,2753.0000,300,94.0000,11,0.3533,0.4532,0.2271,0.2683,0.1176,0.0054
2016-05-01,21:00:00,707,14,2681.0000,301,24.0000,3,0.3289,0.4257,0.1935,0.2143,0.0309,0.0057,2819.0000,318,24.0000,3,0.3458,0.4498,0.1935,0.2143,0.1494,0.0042
2016-05-01,22:00:00,790,17,3087.0000,348,13.0000,2,0.3385,0.4405,0.1057,0.1176,0.0404,0.0056,3222.0000,361,20.0000,4,0.3533,0.4570,0.1626,0.2353,0.2568,0.0052
2016-05-01,23:00:00,879,20,3461.0000,388,8.0000,2,0.3378,0.4414,0.0860,0.1000,0.0652,0.0050,3603.0000,410,8.0000,2,0.3516,0.4664,0.0860,0.1000,0.3193,0.0048
2016-05-02,00:00:00,679,8,2425.0000,279,0.0000,0,0.3136,0.4109,0.0000,0.0000,0.0540,0.0068,2598.0000,300,0.0000,0,0.3360,0.4418,0.0000,0.0000,0.2053,0.0072
2016-05-02,01:00:00,114,5,349.0000,42,10.0000,1,0.2695,0.3684,0.2941,0.2000,0.0088,0.0041,371.0000,44,10.0000,1,0.2865,0.3860,0.2941,0.2000,0.0153,0.0039
2016-05-02,02:00:00,2,10,0.0000,0,10.0000,1,0.0000,0.0000,0.0909,0.1000,0.0068,0.0051,0.0000,0,10.0000,1,0.0000,0.0000,0.0909,0.1000,0.0085,0.0077
2016-05-02,03:00:00,0,30,0.0000,0,77.0000,8,0.0000,0.0000,0.2219,0.2667,0.0070,0.0060,0.0000,0,86.0000,9,0.0000,0.0000,0.2478,0.3000,0.0098,0.0089
2016-05-02,04:00:00,5,219,0.0000,0,885.0000,93,0.0000,0.0000,0.3508,0.4247,0.0067,0.0105,0.0000,0,946.0000,100,0.0000,0.0000,0.3750,0.4566,0.0061,0.0178
2016-05-02,05:00:00,6,360,0.0000,0,1531.0000,164,0.0000,0.0000,0.3689,0.4556,0.0058,0.0181,0.0000,0,1568.0000,169,0.0000,0.0000,0.3778,0.4694,0.0080,0.0428
2016-05-02,06:00:00,27,427,51.0000,5,1871.0000,194,0.1717,0.1852,0.3756,0.4543,0.0058,0.0204,51.0000,5,1960.0000,203,0.1717,0.1852,0.3934,0.4754,0.0089,0.0503
2016-05-02,07:00:00,349,366,1371.0000,147,1596.0000,161,0.3399,0.4212,0.3747,0.4399,0.0150,0.0126,1461.0000,157,1657.0000,167,0.3622,0.4499,0.3891,0.4563,0.0492,0.0383
2016-05-02,08:00:00,600,260,2259.0000,252,1056.0000,110,0.3304,0.4200,0.3571,0.4231,0.0300,0.0092,2415.0000,268,1126.0000,117,0.3532,0.4467,0.3808,0.4500,0.1159,0.0212
2016-05-02,09:00:00,782,278,3268.0000,351,1174.0000,121,0.3621,0.4488,0.3668,0.4353,0.0435,0.0100,3461.0000,371,1223.0000,126,0.3835,0.4744,0.3821,0.4532,0.2768,0.0221
2016-05-02,10:00:00,795,215,3332.0000,355,910.0000,95,0.3596,0.4465,0.3624,0.4419,0.0459,0.0100,3441.0000,368,940.0000,98,0.3714,0.4629,0.3744,0.4558,0.2949,0.0166
2016-05-02,11:00:00,744,238,2981.0000,333,998.0000,99,0.3498,0.4476,0.3578,0.4160,0.0430,0.0087,3113.0000,348,1063.0000,106,0.3653,0.4677,0.3811,0.4454,0.2383,0.0183
2016-05-02,12:00:00,694,281,2901.0000,306,1245.0000,124,0.3563,0.4409,0.3728,0.4413,0.0377,0.0102,3054.0000,323,1291.0000,129,0.3750,0.4654,0.3865,0.4591,0.2006,0.0229
2016-05-02,13:00:00,665,325,2653.0000,290,1317.0000,136,0.3460,0.4361,0.3537,0.4185,0.0310,0.0133,2757.0000,304,1409.0000,145,0.3596,0.4571,0.3785,0.4462,0.1412,0.0334
2016-05-02,14:00:00,694,307,2618.0000,289,1295.0000,133,0.3252,0.4164,0.3650,0.4332,0.0328,0.0112,2820.0000,311,1376.0000,142,0.3503,0.4481,0.3878,0.4625,0.1475,0.0268
